,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
75,Manhuaçu,-20.26,-42.03,19.19,93,100,1.55,19.19,BR,1603572159
76,Hilo,19.73,-155.09,26.17,74,90,4.1,27.0,US,1603572159
77,Thompson,55.74,-97.86,-4.0,53,90,4.1,-4.0,CA,1603572159
78,Lavrentiya,65.58,-171.0,0.72,88,59,3.22,0.72,RU,1603572160
79,Luganville,-15.53,167.17,26.69,78,88,4.54,26.69,VU,1603572160
80,Inírida,3.87,-67.92,28.72,80,86,0.91,28.72,CO,1603572160
81,Port Said,31.26,32.28,25.1,64,23,6.14,25.1,EG,1603572160
82,Russell,32.35,-85.2,20.61,94,90,2.1,21.0,US,1603572160
83,Beloha,-25.17,45.05,20.35,84,100,1.83,20.35,MG,1603572161
84,Hermanus,-34.42,19.23,16.11,92,6,0.89,16.11,ZA,1603572161
85,Ponta do Sol,32.67,-17.1,18.41,68,40,2.6,20.0,PT,1603572161
86,Kaitangata,-46.28,169.85,18.29,56,100,3.84,18.29,NZ,1603572161
87,Cenotillo,20.97,-88.62,28.25,83,58,4.6,28.25,MX,1603572161
88,Norman Wells,65.28,-126.83,-6.0,92,75,2.1,-6.0,CA,1603572128
89,Charters Towers,-20.1,146.27,23.57,72,0,3.2,23.57,AU,1603572162
90,Roebourne,-20.78,117.13,18.25,86,0,3.79,18.25,AU,1603572162
91,Hobart,-42.88,147.33,6.14,73,40,4.6,7.0,AU,1603571998
92,Bethel,41.37,-73.41,14.76,79,96,0.45,15.0,US,1603572163
93,Buckeye,33.37,-112.58,28.96,28,1,3.52,30.56,US,1603572163
94,Ochakiv,46.61,31.55,15.33,72,0,5.31,15.56,UA,1603572163
95,Carnarvon,-24.87,113.63,21.0,100,75,7.2,21.0,AU,1603572164
96,Vagay,57.94,69.02,-1.91,98,100,5.64,-1.91,RU,1603572164
97,Yellowknife,62.46,-114.35,-3.36,58,40,4.6,-3.0,CA,1603572051
98,Yarmouth,41.71,-70.23,18.07,72,75,4.1,19.0,US,1603572123
99,Kapaa,22.08,-159.32,28.01,69,20,4.1,28.33,US,1603572164
100,Sukabumi,-6.92,106.93,25.56,86,100,0.96,25.56,ID,1603572165
101,Esim,4.87,-2.24,25.65,87,96,4.02,25.65,GH,1603572165
102,Avarua,-21.21,-159.78,25.0,69,37,6.2,25.0,CK,1603572165
103,Guaporé,-28.85,-51.89,26.57,68,95,0.3,28.33,BR,1603572165
104,Srednekolymsk,67.45,153.68,-10.24,94,1,2.32,-10.24,RU,1603572166
105,Jaicós,-7.36,-41.14,30.97,33,70,1.05,30.97,BR,1603572166
106,Marzuq,14.4,46.47,18.03,26,0,0.33,18.03,YE,1603572166
107,Ribeira Grande,38.52,-28.7,19.0,93,40,7.7,19.0,PT,1603572166
108,Codrington,-38.27,141.97,8.42,69,51,7.43,8.42,AU,1603572168
109,Broken Hill,-31.95,141.43,7.0,81,90,4.1,7.0,AU,1603572168
110,Si Racha,13.17,100.93,25.41,65,90,2.09,28.33,TH,1603572168
111,Shimoda,34.67,138.95,9.44,77,30,5.51,9.44,JP,1603572168
112,Lüderitz,-26.65,15.16,15.67,78,7,7.44,15.67,NA,1603572169
113,Wahiawā,21.5,-158.02,26.73,78,90,3.1,29.0,US,1603571908
114,Port Lincoln,-34.73,135.87,11.4,70,87,7.33,11.4,AU,1603572169
115,Faya,18.39,42.45,18.0,16,0,2.1,18.0,SA,1603572169
116,Rockhampton,-23.38,150.5,22.0,88,90,1.5,22.0,AU,1603571989
