,city,lat,long,temp,humidity,cloudiness,windspeed,max temp,country,datetime
331,Am Timan,11.03,20.28,26.41,24,80,1.07,26.41,TD,1603572222
332,Tianpeng,30.99,103.94,19.25,1,100,1.26,20.0,CN,1603572222
333,Kupang,-10.17,123.58,26.03,80,83,1.52,26.03,ID,1603572223
334,Tshikapa,-6.42,20.8,22.56,90,86,0.73,22.56,CD,1603572223
335,El Salvador,13.83,-88.92,27.03,94,40,3.1,30.0,SV,1603572223
336,Yayva,59.33,57.26,-0.56,96,100,2.56,-0.56,RU,1603572223
337,Robertsport,6.75,-11.37,26.69,80,50,3.37,26.69,LR,1603572223
338,Raahe,64.68,24.48,2.12,72,75,4.1,3.0,FI,1603572224
339,Krasnoslobodsk,48.71,44.57,13.45,82,0,3.0,13.89,RU,1603572224
340,Sungai Penuh,-2.08,101.38,18.77,94,100,0.62,18.77,ID,1603572224
341,Shubarkuduk,49.14,56.49,9.0,68,86,5.77,9.0,KZ,1603572068
342,Navalmoral de la Mata,39.89,-5.54,12.78,73,56,1.79,12.78,ES,1603572224
343,Santa Cruz de la Sierra,-17.8,-63.17,35.62,39,75,7.7,36.0,BO,1603572225
344,Nelson Bay,-32.72,152.15,16.26,100,90,7.7,16.67,AU,1603571963
345,Mehrān,33.12,46.16,14.0,19,0,3.1,14.0,IR,1603572225
346,Umluj,25.02,37.27,28.46,35,0,3.62,28.46,SA,1603572225
347,Hagerstown,39.64,-77.72,16.62,59,90,4.6,17.0,US,1603572225
348,Falmouth,50.15,-5.07,9.65,87,71,5.1,10.0,GB,1603572226
349,Dorado,18.46,-66.27,29.58,70,40,6.7,31.0,PR,1603572226
350,Canutama,-6.53,-64.38,32.57,54,71,1.34,32.57,BR,1603572226
351,Isangel,-19.55,169.27,25.4,70,4,5.35,25.4,VU,1603572226
352,Mareeba,-17.0,145.43,22.11,83,85,1.0,23.33,AU,1603572226
353,Shellbrook,53.22,-106.4,-5.0,79,90,4.1,-5.0,CA,1603572227
354,Matara,5.95,80.54,25.1,88,70,3.25,25.1,LK,1603572227
355,St. George's,12.06,-61.75,31.0,70,40,8.2,31.0,GD,1603572227
356,Tipperary,52.47,-8.16,7.72,70,20,7.7,9.0,IE,1603572227
357,Rosdorf,51.5,9.9,12.23,82,84,1.34,13.33,DE,1603572227
358,Zaozyornoye,45.16,33.28,18.75,84,100,2.98,18.75,UA,1603572228
359,Saint-François,46.42,3.91,8.67,93,0,2.1,9.44,FR,1603572228
360,Fukuechō,32.69,128.84,17.18,63,0,7.18,17.18,JP,1603572228
361,Burns Lake,54.23,-125.75,-1.6,81,0,0.87,-1.6,CA,1603572127
362,Fortuna,40.6,-124.16,14.72,71,90,6.2,15.56,US,1603572228
363,Puerto Rondón,6.28,-71.1,28.33,81,96,1.75,28.33,CO,1603572229
364,Ust-Nera,64.57,143.2,-7.96,91,98,2.09,-7.96,RU,1603572229
365,Coyhaique,-45.58,-72.07,15.0,41,40,2.1,15.0,CL,1603572229
366,Cukai,4.25,103.42,25.0,94,76,1.0,25.0,MY,1603572229
367,Yilan,24.76,121.75,20.89,73,75,6.2,22.0,TW,1603572229
368,San Cristobal,7.77,-72.22,33.0,52,40,6.7,33.0,VE,1603572230
369,Zhigansk,66.77,123.37,-6.09,96,100,10.41,-6.09,RU,1603572230
370,San Patricio,28.02,-97.52,22.35,49,90,3.6,22.78,US,1603572230
371,Bosaso,11.28,49.18,26.25,44,1,2.67,26.25,SO,1603572230
372,Monrovia,6.3,-10.8,26.0,94,20,2.25,26.0,LR,1603572017
373,Aksarka,66.56,67.8,-12.52,95,9,1.62,-12.52,RU,1603572231
374,Damāvand,35.72,52.06,15.0,41,0,2.1,15.0,IR,1603572231
375,Goderich,43.75,-81.72,6.66,79,50,5.56,8.33,CA,1603572231
376,Tamandaré,-8.76,-35.1,25.0,81,45,3.98,25.0,BR,1603572231
377,Belyy Yar,53.6,91.39,-2.0,63,0,5.0,-2.0,RU,1603572231
378,Preobrazheniye,42.9,133.91,4.08,71,3,7.22,4.08,RU,1603572232
379,Severo-Kuril'sk,50.68,156.12,8.3,91,100,13.05,8.3,RU,1603572232
380,Dabat,12.98,37.77,12.43,74,1,1.51,12.43,ET,1603572232
381,Koygorodok,60.45,51.0,1.22,91,99,3.54,1.22,RU,1603572233
382,La Santisima Trinidad,-14.83,-64.9,37.0,42,20,6.2,37.0,BO,1603572233
383,Traverse City,44.76,-85.62,4.56,65,90,4.1,5.0,US,1603572234
384,Yulara,-25.24,130.99,15.0,47,0,5.1,15.0,AU,1603572234
385,Dudinka,69.41,86.18,-11.0,92,75,6.0,-11.0,RU,1603572234
386,Mayumba,-3.43,10.66,25.08,88,99,3.9,25.08,GA,1603572235
387,Acará,-1.96,-48.2,28.82,65,94,1.87,28.82,BR,1603572235
388,Ixtapa,20.7,-105.2,31.83,70,20,5.1,32.0,MX,1603572235
389,San Ramon,37.78,-121.98,19.31,59,1,4.6,21.11,US,1603572105
390,Dingle,11.0,122.67,23.41,89,92,0.96,23.41,PH,1603572236
391,Mossamedes,-15.2,12.15,20.42,79,83,2.46,20.42,AO,1603572236
392,Minas Novas,-17.22,-42.59,21.25,85,100,1.96,21.25,BR,1603572236
393,Akivīdu,16.6,81.38,24.17,84,89,1.44,24.17,IN,1603572236
394,Ibrā’,22.69,58.53,20.2,25,0,2.57,20.2,OM,1603572236
395,Grindavik,63.84,-22.43,6.0,75,75,13.9,6.0,IS,1603572237
396,Vysokogornyy,50.12,139.15,1.6,93,100,2.87,1.6,RU,1603572237
397,Lagoa,39.05,-27.98,18.95,81,89,8.5,18.95,PT,1603572237
398,Sawākin,19.11,37.33,27.11,75,0,2.45,27.11,SD,1603572237
399,Dniprovka,47.43,34.62,15.82,60,98,3.11,15.82,UA,1603572238
400,Santa Rosa,14.31,121.11,25.48,94,75,1.0,26.0,PH,1603572238
401,Broome,42.25,-75.83,6.85,70,90,4.6,8.33,US,1603572238
402,Anadyr,64.75,177.48,-7.0,100,75,1.0,-7.0,RU,1603572238
403,Beloomut,54.94,39.34,8.33,75,100,2.63,8.33,RU,1603572238
404,Rio Grande,-32.03,-52.1,22.78,82,48,2.68,22.78,BR,1603572239
405,Kismayo,-0.36,42.55,26.49,83,98,5.41,26.49,SO,1603572239
406,Marsh Harbour,26.54,-77.06,26.88,79,94,5.62,26.88,BS,1603572239
407,Soto la Marina,23.77,-98.22,31.11,65,21,2.68,31.11,MX,1603572239
408,Yar-Sale,66.83,70.83,-8.46,96,75,2.2,-8.46,RU,1603572239
409,Ugoofaaru,5.67,73.0,28.25,73,100,4.28,28.25,MV,1603572240
410,Natal,-5.79,-35.21,27.0,74,20,4.6,27.0,BR,1603572219
411,Woodstock,43.13,-80.75,7.05,70,75,4.1,7.78,CA,1603572048
412,Sept-Îles,50.2,-66.38,7.0,65,75,4.6,7.0,CA,1603572240
413,Victor Harbor,-35.57,138.62,11.11,78,89,0.89,11.11,AU,1603572240
414,Kirksville,40.19,-92.58,6.0,60,90,4.1,6.0,US,1603572205
415,Avera,33.19,-82.53,26.89,58,40,1.5,28.0,US,1603572241
416,Alihe,50.57,123.72,-1.82,94,0,1.72,-1.82,CN,1603572241
417,Talcahuano,-36.72,-73.12,13.0,76,75,2.6,13.0,CL,1603572024
418,Isla Mujeres,21.23,-86.73,31.0,66,75,7.2,31.0,MX,1603572241
419,Pevek,69.7,170.31,-3.17,92,0,5.68,-3.17,RU,1603572242
420,Morondava,-20.28,44.28,24.08,61,23,6.13,24.08,MG,1603572242
421,Biak,-0.91,122.88,25.25,78,100,0.86,25.25,ID,1603572242
422,Quryq,43.2,51.65,15.6,91,66,4.93,15.6,KZ,1603572068
423,Pointe Michel,15.25,-61.38,30.14,52,20,4.1,31.0,DM,1603572242
424,Tazovsky,67.47,78.7,-9.49,97,95,3.32,-9.49,RU,1603572243
425,São José da Coroa Grande,-8.9,-35.15,24.99,82,37,4.29,24.99,BR,1603572243
426,Belaya Gora,68.53,146.42,-8.94,94,100,2.44,-8.94,RU,1603572243
427,Gölköy,40.69,37.62,14.0,100,0,0.5,14.0,TR,1603572243
428,Shubarshi,48.59,57.19,8.97,58,68,7.13,8.97,KZ,1603572243
429,Tromsø,69.65,18.96,3.0,88,75,8.7,3.0,NO,1603572244
430,Bago,17.34,96.48,23.44,93,92,1.15,23.44,MM,1603572244
431,Birin,26.89,88.07,14.37,100,48,0.98,14.37,NP,1603572244
432,Kurumkan,54.3,110.3,1.2,79,100,0.72,1.2,RU,1603572244
433,Hanyang,32.14,105.51,16.67,84,99,1.13,16.67,CN,1603572245
434,Muhafazat Lahij,13.17,44.58,25.29,48,10,1.79,25.29,YE,1603572245
435,Auki,-8.77,160.7,28.03,75,12,1.4,28.03,SB,1603572245
436,Atar,20.52,-13.05,32.25,21,100,4.09,32.25,MR,1603572245
437,Menzel Salem,35.86,8.48,17.0,55,40,2.6,17.0,TN,1603572245
438,Senanga,-16.12,23.27,23.85,21,69,3.52,23.85,ZM,1603572246
439,Basco,20.45,121.97,26.1,84,100,14.11,26.1,PH,1603572246
440,Ponta Delgada,37.73,-25.67,20.0,82,75,8.7,20.0,PT,1603572061
441,Pokhara,28.23,83.98,18.6,26,0,2.4,18.6,NP,1603572247
442,Mezen',65.85,44.24,-3.11,98,97,2.73,-3.11,RU,1603572247
443,Portland,45.52,-122.68,9.31,57,75,8.2,10.56,US,1603571901
444,Eureka,40.8,-124.16,14.27,73,39,2.68,14.44,US,1603572121
445,Ayan,56.45,138.17,3.64,83,100,6.61,3.64,RU,1603572248
446,Gravdal,68.12,13.5,4.94,71,0,4.35,4.94,NO,1603572248
447,Little Current,45.98,-81.92,3.18,55,20,3.1,3.33,CA,1603572248
448,Nakamura,32.98,132.93,9.26,81,0,2.0,9.26,JP,1603572248
449,Nerchinskiy Zavod,51.31,119.61,-2.43,95,0,1.37,-2.43,RU,1603572248
450,Kimamba,-6.78,37.13,24.0,83,20,3.48,24.0,TZ,1603572249
451,Nānākuli,21.39,-158.15,26.83,70,1,4.6,29.0,US,1603572249
452,Loíza,18.43,-65.88,30.36,62,40,7.7,31.0,PR,1603572249
453,Sangar,63.92,127.47,-12.31,94,18,0.4,-12.31,RU,1603572249
454,Yangi Marg`ilon,40.43,71.72,8.0,52,100,2.1,8.0,UZ,1603572249
455,Oodweyne,9.41,45.06,24.03,20,45,4.77,24.03,SO,1603572250
456,Buala,-8.14,159.59,28.17,75,1,1.6,28.17,SB,1603572250
457,Hambantota,6.12,81.12,26.01,80,95,5.98,26.01,LK,1603572250
458,Petropavlovsk-Kamchatskiy,53.05,158.65,6.0,81,90,2.0,6.0,RU,1603572250
459,Sinjār,36.32,41.88,17.32,30,0,1.66,17.32,IQ,1603572251
460,Mahbūbābād,17.62,80.02,23.27,79,26,1.04,23.27,IN,1603572251
461,Makkah al Mukarramah,21.43,39.83,26.25,43,0,1.14,26.25,SA,1603572219
462,Hervey Bay,-25.3,152.85,23.89,84,21,2.24,23.89,AU,1603572252
463,Urengoy,65.97,78.37,-9.6,95,100,4.25,-9.6,RU,1603572252
464,Vao,-22.67,167.48,22.8,81,60,6.21,22.8,NC,1603572252
465,Doaba,33.42,70.74,14.99,33,0,1.13,14.99,PK,1603572253
466,Stephenville,32.22,-98.2,14.24,54,90,1.35,14.44,US,1603572209
467,Chapayevka,47.47,36.35,14.96,87,100,3.62,14.96,UA,1603572254
468,Asău,46.43,26.4,11.67,98,100,1.13,11.67,RO,1603572254
469,Şile,41.18,29.61,17.22,80,0,1.35,17.22,TR,1603572097
470,Tura,25.52,90.22,21.51,99,64,1.35,21.51,IN,1603572255
471,Nome,64.5,-165.41,2.13,95,90,4.6,2.22,US,1603572255
472,Jilib,0.49,42.79,24.72,89,74,2.23,24.72,SO,1603572255
473,Souillac,-20.52,57.52,23.0,78,75,5.1,23.0,MU,1603572255
474,Puerto Maldonado,-12.6,-69.18,36.0,44,40,3.6,36.0,PE,1603572256
475,Santa Fe,-31.63,-60.7,30.56,50,22,1.34,30.56,AR,1603572256
476,Sola,-13.88,167.55,26.5,82,34,7.6,26.5,VU,1603572256
477,Trairi,-3.28,-39.27,26.71,78,2,5.12,26.71,BR,1603572256
478,Aberdeen,57.14,-2.1,8.76,81,67,3.6,9.0,GB,1603572256
479,Huilong,31.81,121.66,13.49,78,5,0.38,14.44,CN,1603572257
480,Kruisfontein,-34.0,24.73,17.78,82,0,0.45,17.78,ZA,1603572257
481,Arrecife,28.96,-13.55,21.0,73,20,5.1,21.0,ES,1603572140
482,Olafsvik,64.89,-23.71,5.31,75,100,19.21,5.31,IS,1603572257
483,‘Āhuimanu,21.44,-157.84,26.54,78,40,4.6,28.0,US,1603572258
484,Muscatine,41.47,-91.13,5.92,60,75,3.1,6.11,US,1603572258
485,Taunggyi,20.78,97.03,15.62,100,98,0.53,15.62,MM,1603572258
486,Cidreira,-30.18,-50.21,20.91,87,84,5.66,20.91,BR,1603572258
487,Wainwright,52.84,-110.86,-7.45,88,88,4.27,-7.45,CA,1603572259
488,Buin,-33.73,-70.75,23.11,35,20,4.6,23.33,CL,1603572259
489,Krasnosel'kup,65.7,82.47,-13.49,95,84,4.04,-13.49,RU,1603572259
490,Basoko,1.24,23.62,23.24,93,95,1.28,23.24,CD,1603572259
491,Kidal,18.44,1.41,27.88,14,0,4.8,27.88,ML,1603572259
492,Yarim,14.3,44.38,10.78,38,5,2.11,10.78,YE,1603572260
493,Murree,33.91,73.39,16.58,72,0,2.1,17.22,PK,1603572260
494,Panzhihua,26.59,101.71,16.02,71,92,0.53,16.02,CN,1603572260
495,Iracoubo,5.48,-53.2,28.35,74,61,6.06,28.35,GF,1603572260
496,Port Blair,11.67,92.75,26.86,80,56,2.51,26.86,IN,1603572068
497,Chapecó,-27.1,-52.62,21.1,83,84,0.73,21.1,BR,1603571976
498,Ozinki,51.18,49.68,9.06,85,100,1.2,9.06,RU,1603572261
499,Tankhoy,51.55,105.13,3.94,82,100,1.27,3.94,RU,1603572261
500,Prince Rupert,54.32,-130.32,5.0,30,1,3.1,5.0,CA,1603572226
501,Pemangkat,1.17,108.97,25.31,85,100,2.22,25.31,ID,1603572261
502,Maragogi,-9.01,-35.22,24.71,83,24,4.2,24.71,BR,1603572213
503,Caravelas,-17.71,-39.25,24.12,85,69,3.5,24.12,BR,1603572262
504,Çanakkale Province,40.08,26.83,17.22,87,0,0.87,21.67,TR,1603572262
505,Turan,16.07,108.22,21.0,94,75,1.5,21.0,VN,1603572175
506,Daru,-9.08,143.21,26.08,86,99,3.01,26.08,PG,1603572262
507,Udomlya,57.88,34.99,2.51,94,73,1.88,2.51,RU,1603572263
508,Bagaces,10.53,-85.25,28.0,78,40,4.6,28.0,CR,1603572263
509,Kenai,60.55,-151.26,5.72,65,90,7.7,7.0,US,1603572263
510,Bonnyville,54.27,-110.73,-5.0,57,90,5.1,-5.0,CA,1603572263
511,Gazli,40.13,63.45,7.27,57,4,3.16,7.27,UZ,1603572264
512,Kadoma,34.73,135.58,9.4,81,0,3.1,10.56,JP,1603572264
513,Khatassy,61.9,129.64,-20.0,83,0,2.0,-20.0,RU,1603572264
514,Berlevåg,70.86,29.09,3.69,76,100,9.26,3.69,NO,1603572264
515,Hanover,52.37,9.73,14.48,76,75,4.1,15.0,DE,1603572265
516,Smolenka,52.14,113.5,-5.0,85,96,2.0,-5.0,RU,1603572265
517,Paris,48.85,2.35,14.33,82,90,7.7,15.0,FR,1603572008
518,Seydi,39.48,62.91,8.82,52,36,3.15,8.82,TM,1603572265
519,Santa Maria,-29.68,-53.81,26.85,65,76,1.29,26.85,BR,1603572266
520,Baghdad,33.34,44.4,19.0,39,0,1.0,19.0,IQ,1603572266
521,Mānsa,29.98,75.38,19.88,25,0,1.61,19.88,IN,1603572266
522,Vardø,70.37,31.11,3.95,78,100,10.98,3.95,NO,1603572266
523,Alugan,12.22,125.48,25.83,89,100,5.31,25.83,PH,1603572267
524,Thai Binh,20.45,106.33,24.0,60,90,2.1,24.0,VN,1603572267
525,Suwannaphum,15.6,103.8,18.91,79,85,2.74,18.91,TH,1603572267
526,Rio Verde de Mato Grosso,-18.92,-54.84,31.45,52,40,1.42,31.45,BR,1603572267
527,Lawton,34.61,-98.39,13.3,43,1,2.1,13.89,US,1603572121
528,Westport,41.14,-73.36,16.45,72,90,4.1,18.0,US,1603572183
529,Mionica,44.87,18.46,10.99,100,75,0.5,12.78,BA,1603572268
530,Necochea,-38.55,-58.74,16.93,89,22,6.15,16.93,AR,1603572268
531,Omsukchan,62.53,155.8,-2.99,93,53,1.48,-2.99,RU,1603572268
532,Jiazi,22.88,116.07,20.29,63,99,9.0,20.29,CN,1603572268
533,Savelugu,9.62,-0.83,27.85,50,75,1.56,27.85,GH,1603572269
534,Rivera,-30.91,-55.55,25.05,78,9,3.13,25.05,UY,1603572269
535,Valente,-11.41,-39.46,27.58,51,66,3.78,27.58,BR,1603572269
536,Tegul'det,57.31,88.17,-3.59,95,63,3.49,-3.59,RU,1603572269
537,Phan Thiet,10.93,108.1,23.74,85,82,0.97,23.74,VN,1603572269
538,Bathurst,-33.42,149.58,12.22,99,100,0.45,12.22,AU,1603572270
539,Wolbrom,50.38,19.76,9.25,98,0,1.18,10.0,PL,1603572270
540,Pacific Grove,36.62,-121.92,19.59,63,75,1.5,20.0,US,1603572270
541,Ballina,-28.87,153.57,19.97,94,6,2.6,21.67,AU,1603572270
542,Kartaly,53.05,60.65,6.57,91,75,6.04,6.57,RU,1603572270
543,Lira,2.23,32.91,18.82,95,25,1.37,18.82,UG,1603572271
544,Alekseyevsk,57.84,108.35,1.43,91,100,3.5,1.43,RU,1603572271
545,Fraga,41.52,0.35,11.64,76,0,1.5,12.78,ES,1603572271
546,La Palma,33.85,-118.05,21.24,64,90,3.1,22.22,US,1603572271
547,Santa Cruz Cabrália,-16.28,-39.02,26.0,74,40,6.7,26.0,BR,1603572272
548,Srīvardhan,18.03,73.02,25.19,88,66,2.72,25.19,IN,1603572272
549,El Batey,19.77,-70.52,32.0,75,20,8.2,32.0,DO,1603572273
550,Cabra,37.47,-4.44,13.89,80,0,1.31,13.89,ES,1603572273
551,Port-Cartier,50.03,-66.87,7.0,65,75,4.6,7.0,CA,1603572273
552,Prado,-17.34,-39.22,24.57,85,99,4.4,24.57,BR,1603572274
553,Chara,56.91,118.26,-6.08,90,8,0.39,-6.08,RU,1603572274
554,Kampot,10.62,104.18,24.0,94,20,0.94,24.0,KH,1603572274
555,Cayenne,4.93,-52.33,30.0,70,0,4.6,30.0,GF,1603572275
556,Puerto Escondido,15.85,-97.07,30.0,66,75,2.1,30.0,MX,1603572275
557,Havøysund,71.0,24.66,3.0,93,100,8.2,3.0,NO,1603572276
558,Mola di Bari,41.06,17.09,15.45,93,0,2.6,16.0,IT,1603572276
559,Arlit,18.74,7.39,27.57,14,0,5.17,27.57,NE,1603572276
560,Makaleng,-20.9,27.28,24.15,32,1,3.73,24.15,BW,1603572276
561,Sergeevka,53.88,67.42,0.95,96,100,8.34,0.95,KZ,1603572276
562,Businga,3.33,20.88,22.6,96,100,0.98,22.6,CD,1603572277
563,Muli,2.92,73.57,27.97,78,39,4.16,27.97,MV,1603572277
564,Bonthe,7.53,-12.51,26.41,81,88,1.93,26.41,SL,1603572277
565,Vrangel',42.73,133.08,6.5,61,0,7.55,6.5,RU,1603572277
566,Ewing,40.27,-74.8,18.78,68,90,4.1,20.0,US,1603572278
567,Boa Vista,2.82,-60.67,35.0,39,20,3.6,35.0,BR,1603572278
568,Tilichiki,60.47,166.1,-1.84,97,27,1.68,-1.84,RU,1603572278
569,Pangnirtung,66.15,-65.71,-6.91,91,96,1.78,-6.91,CA,1603572278
570,Maceió,-9.67,-35.74,26.0,78,20,5.7,26.0,BR,1603572279
571,Peniche,39.36,-9.38,16.48,88,97,6.26,16.67,PT,1603572279
572,Hobyo,5.35,48.53,26.2,80,94,7.15,26.2,SO,1603572279
573,Merrill,45.18,-89.68,0.43,95,40,2.6,1.0,US,1603572279
574,Peleduy,59.63,112.74,0.0,97,100,0.89,0.0,RU,1603572279
575,Dérac,19.65,-71.82,29.63,66,90,4.54,29.63,HT,1603572280
576,Brits,-25.63,27.78,19.66,60,52,2.1,20.0,ZA,1603572280
577,Yumen,40.28,97.2,4.95,60,100,3.85,4.95,CN,1603572280
578,Husavik,66.04,-17.34,5.0,75,90,8.7,5.0,IS,1603572280
579,Vestmannaeyjar,63.44,-20.27,7.95,63,94,11.79,7.95,IS,1603572227
580,Albanel,48.88,-72.45,3.0,64,75,7.7,3.0,CA,1603572281
581,Orsha,54.52,30.41,6.26,95,58,3.33,6.26,BY,1603572281
582,Khani,41.96,42.96,9.0,100,0,2.1,9.0,GE,1603572281
583,Adrar,20.5,-10.07,32.86,11,100,2.7,32.86,MR,1603572281
584,Dondo,-19.61,34.74,22.89,88,20,3.1,23.0,MZ,1603572281
585,Rudnichnyy,59.62,52.47,1.74,90,100,4.34,1.74,RU,1603572282
586,Pasco,28.29,-82.42,30.27,57,6,1.34,31.11,US,1603572282
587,Malyn,50.77,29.24,14.0,82,82,4.0,14.0,UA,1603572282
588,Ancud,-41.87,-73.82,7.95,87,75,4.6,11.11,CL,1603572282
589,Witu,-2.39,40.44,26.0,83,1,2.6,26.0,KE,1603572282
590,Bilma,18.69,12.92,23.48,18,0,2.11,23.48,NE,1603572283
591,Rudabánya,48.38,20.63,12.63,93,75,1.5,13.0,HU,1603572283
592,Mayo,38.89,-76.51,22.5,69,75,4.1,23.33,US,1603572283
593,Tungor,53.38,142.96,4.03,92,0,1.75,4.03,RU,1603572283
594,Kaoma,-14.78,24.8,22.18,24,80,3.55,22.18,ZM,1603572283
595,Tayginka,55.62,60.51,5.28,91,100,3.28,5.28,RU,1603572284
596,Youkounkoun,12.53,-13.13,27.44,51,5,0.06,27.44,GN,1603572284
597,Cañon City,38.44,-105.24,23.35,9,1,11.8,27.0,US,1603572284
598,Bara,10.37,10.73,26.34,33,90,2.23,26.34,NG,1603572284
599,Qeshm,26.96,56.27,24.5,62,0,2.1,25.0,IR,1603572284
